date,region,mean_vacc_center
2021-01-01,Abruzzo,16.603448275862068
2021-01-01,Basilicata,17.27159209157128
2021-01-01,Calabria,12.626562045916884
2021-01-01,Campania,104.24671445639187
2021-01-01,Emilia-Romagna,40.605095541401276
2021-01-01,Friuli-Venezia Giulia,25.873083024854573
2021-01-01,Lazio,33.4693371144984
2021-01-01,Liguria,11.673310047257038
2021-01-01,Lombardia,85.50410060142154
2021-01-01,Marche,23.95995550611791
2021-01-01,Molise,35.45161290322581
2021-01-01,Piemonte,26.47528854690737
2021-01-01,Provincia Autonoma Bolzano / Bozen,23.86352357320099
2021-01-01,Provincia Autonoma Trento,36.95564516129032
2021-01-01,Puglia,5.527257808092722
2021-01-01,Sardegna,14.35865417967395
2021-01-01,Sicilia,28.54856052722858
2021-01-01,Toscana,18.509337860780985
2021-01-01,Umbria,13.846475507765831
2021-01-01,Valle d'Aosta / Vallée d'Aoste,26.460829493087555
2021-01-01,Veneto,26.450537634408605
2021-02-01,Abruzzo,33.608374384236456
2021-02-01,Basilicata,32.17165898617512
2021-02-01,Calabria,18.883848133848133
2021-02-01,Campania,142.8148148148148
2021-02-01,Emilia-Romagna,42.776387625113735
2021-02-01,Friuli-Venezia Giulia,36.238290398126466
2021-02-01,Lazio,46.993916797488225
2021-02-01,Liguria,14.416742493175615
2021-02-01,Lombardia,115.61470944309927
2021-02-01,Marche,35.32266009852217
2021-02-01,Molise,49.757936507936506
2021-02-01,Piemonte,34.514580602883356
2021-02-01,Provincia Autonoma Bolzano / Bozen,31.16025641025641
2021-02-01,Provincia Autonoma Trento,52.377232142857146
2021-02-01,Puglia,8.797524415171473
2021-02-01,Sardegna,17.76958525345622
2021-02-01,Sicilia,32.88709677419355
2021-02-01,Toscana,30.546992481203006
2021-02-01,Umbria,15.501322751322752
2021-02-01,Valle d'Aosta / Vallée d'Aoste,36.30612244897959
2021-02-01,Veneto,27.794897959183675
2021-03-01,Abruzzo,79.69966629588433
2021-03-01,Basilicata,54.87617065556712
2021-03-01,Calabria,49.810810810810814
2021-03-01,Campania,275.6463560334528
2021-03-01,Emilia-Romagna,104.47976166016028
2021-03-01,Friuli-Venezia Giulia,65.36065573770492
2021-03-01,Lazio,111.65845444877704
2021-03-01,Liguria,36.6085884528457
2021-03-01,Lombardia,260.704756697649
2021-03-01,Marche,92.59955506117909
2021-03-01,Molise,156.77060931899643
2021-03-01,Piemonte,62.32657591003255
2021-03-01,Provincia Autonoma Bolzano / Bozen,38.292803970223325
2021-03-01,Provincia Autonoma Trento,109.42137096774194
2021-03-01,Puglia,18.23555054105339
2021-03-01,Sardegna,54.90287894554284
2021-03-01,Sicilia,79.17845993756504
2021-03-01,Toscana,57.06621392190152
2021-03-01,Umbria,59.48805256869773
2021-03-01,Valle d'Aosta / Vallée d'Aoste,48.20276497695853
2021-03-01,Veneto,88.43195084485407
2021-04-01,Abruzzo,124.13390804597701
2021-04-01,Basilicata,94.63440860215053
2021-04-01,Calabria,83.5009009009009
2021-04-01,Campania,531.9061728395062
2021-04-01,Emilia-Romagna,160.39193205944798
2021-04-01,Friuli-Venezia Giulia,101.1535519125683
2021-04-01,Lazio,158.62655677655678
2021-04-01,Liguria,68.12377919320593
2021-04-01,Lombardia,492.3624293785311
2021-04-01,Marche,162.58448275862068
2021-04-01,Molise,194.4148148148148
2021-04-01,Piemonte,113.34877675840978
2021-04-01,Provincia Autonoma Bolzano / Bozen,69.97264957264957
2021-04-01,Provincia Autonoma Trento,171.70625
2021-04-01,Puglia,36.43783783783784
2021-04-01,Sardegna,96.65483870967742
2021-04-01,Sicilia,113.83261648745518
2021-04-01,Toscana,96.57862838915472
2021-04-01,Umbria,99.09444444444445
2021-04-01,Valle d'Aosta / Vallée d'Aoste,105.83333333333334
2021-04-01,Veneto,121.93730158730158
2021-05-01,Abruzzo,189.32202447163516
2021-05-01,Basilicata,145.2185223725286
2021-05-01,Calabria,144.62627143272303
2021-05-01,Campania,951.0866188769415
2021-05-01,Emilia-Romagna,195.80994452434763
2021-05-01,Friuli-Venezia Giulia,164.06240084611318
2021-05-01,Lazio,251.68273661822047
2021-05-01,Liguria,66.93445654407232
2021-05-01,Lombardia,708.4953526517222
2021-05-01,Marche,193.8020022246941
2021-05-01,Molise,253.91397849462362
2021-05-01,Piemonte,141.50577093814738
2021-05-01,Provincia Autonoma Bolzano / Bozen,104.73862696443342
2021-05-01,Provincia Autonoma Trento,231.22379032258064
2021-05-01,Puglia,52.95435663367352
2021-05-01,Sardegna,132.83073187651752
2021-05-01,Sicilia,196.1649323621228
2021-05-01,Toscana,130.79487575243093
2021-05-01,Umbria,130.18458781362008
2021-05-01,Valle d'Aosta / Vallée d'Aoste,129.95391705069125
2021-05-01,Veneto,172.13394777265748

