date,age,region,vacc_women
2021-03-01,16-19,Puglia,6
2021-03-01,16-19,Lazio,6
2021-03-01,16-19,Toscana,5
2021-03-01,16-19,Veneto,5
2021-03-01,16-19,Sicilia,5
2021-03-01,20-29,Toscana,444
2021-03-01,20-29,Puglia,363
2021-03-01,20-29,Veneto,334
2021-03-01,20-29,Piemonte,283
2021-03-01,20-29,Lombardia,271
2021-03-01,30-39,Toscana,911
2021-03-01,30-39,Campania,564
2021-03-01,30-39,Puglia,545
2021-03-01,30-39,Piemonte,393
2021-03-01,30-39,Lombardia,387
2021-03-01,40-49,Toscana,1424
2021-03-01,40-49,Campania,1150
2021-03-01,40-49,Puglia,919
2021-03-01,40-49,Lazio,880
2021-03-01,40-49,Sicilia,678
2021-03-01,50-59,Campania,1867
2021-03-01,50-59,Lazio,1159
2021-03-01,50-59,Toscana,1069
2021-03-01,50-59,Puglia,975
2021-03-01,50-59,Sicilia,622
2021-03-01,60-69,Campania,960
2021-03-01,60-69,Puglia,441
2021-03-01,60-69,Lazio,286
2021-03-01,60-69,Toscana,236
2021-03-01,60-69,Veneto,163
2021-03-01,70-79,Lombardia,134
2021-03-01,70-79,Lazio,91
2021-03-01,70-79,Toscana,54
2021-03-01,70-79,Sardegna,54
2021-03-01,70-79,Sicilia,49
2021-03-01,80-89,Lazio,3192
2021-03-01,80-89,Lombardia,2989
2021-03-01,80-89,Emilia-Romagna,2928
2021-03-01,80-89,Campania,2616
2021-03-01,80-89,Veneto,2422
2021-03-01,90+,Emilia-Romagna,1388
2021-03-01,90+,Lombardia,1078
2021-03-01,90+,Lazio,705
2021-03-01,90+,Toscana,601
2021-03-01,90+,Piemonte,592
2021-04-01,16-19,Lombardia,29
2021-04-01,16-19,Sicilia,25
2021-04-01,16-19,Campania,22
2021-04-01,16-19,Veneto,21
2021-04-01,16-19,Lazio,20
2021-04-01,20-29,Lombardia,1233
2021-04-01,20-29,Veneto,519
2021-04-01,20-29,Lazio,291
2021-04-01,20-29,Campania,278
2021-04-01,20-29,Piemonte,255
2021-04-01,30-39,Lombardia,1906
2021-04-01,30-39,Veneto,551
2021-04-01,30-39,Lazio,537
2021-04-01,30-39,Piemonte,344
2021-04-01,30-39,Campania,323
2021-04-01,40-49,Lombardia,2620
2021-04-01,40-49,Veneto,781
2021-04-01,40-49,Lazio,615
2021-04-01,40-49,Sardegna,488
2021-04-01,40-49,Piemonte,406
2021-04-01,50-59,Lombardia,3060
2021-04-01,50-59,Veneto,1154
2021-04-01,50-59,Lazio,860
2021-04-01,50-59,Liguria,640
2021-04-01,50-59,Sardegna,636
2021-04-01,60-69,Lazio,1543
2021-04-01,60-69,Lombardia,1472
2021-04-01,60-69,Veneto,1135
2021-04-01,60-69,Sicilia,968
2021-04-01,60-69,Campania,931
2021-04-01,70-79,Veneto,4264
2021-04-01,70-79,Lazio,3899
2021-04-01,70-79,Emilia-Romagna,3238
2021-04-01,70-79,Sicilia,2951
2021-04-01,70-79,Campania,2894
2021-04-01,80-89,Lombardia,11247
2021-04-01,80-89,Veneto,7134
2021-04-01,80-89,Piemonte,5468
2021-04-01,80-89,Emilia-Romagna,5178
2021-04-01,80-89,Lazio,4959
2021-04-01,90+,Lombardia,2553
2021-04-01,90+,Veneto,1744
2021-04-01,90+,Toscana,1527
2021-04-01,90+,Emilia-Romagna,1392
2021-04-01,90+,Lazio,1129
2021-05-01,16-19,Lombardia,157
2021-05-01,16-19,Campania,85
2021-05-01,16-19,Piemonte,64
2021-05-01,16-19,Sicilia,57
2021-05-01,16-19,Emilia-Romagna,57
2021-05-01,20-29,Lombardia,762
2021-05-01,20-29,Campania,519
2021-05-01,20-29,Lazio,514
2021-05-01,20-29,Sicilia,443
2021-05-01,20-29,Piemonte,352
2021-05-01,30-39,Lombardia,857
2021-05-01,30-39,Campania,705
2021-05-01,30-39,Sicilia,529
2021-05-01,30-39,Lazio,487
2021-05-01,30-39,Emilia-Romagna,452
2021-05-01,40-49,Lombardia,1518
2021-05-01,40-49,Campania,1208
2021-05-01,40-49,Sicilia,919
2021-05-01,40-49,Emilia-Romagna,902
2021-05-01,40-49,Piemonte,865
2021-05-01,50-59,Lombardia,3168
2021-05-01,50-59,Campania,2400
2021-05-01,50-59,Sicilia,1694
2021-05-01,50-59,Piemonte,1543
2021-05-01,50-59,Emilia-Romagna,1451
2021-05-01,60-69,Lombardia,12916
2021-05-01,60-69,Campania,7137
2021-05-01,60-69,Lazio,5437
2021-05-01,60-69,Sicilia,4821
2021-05-01,60-69,Veneto,4551
2021-05-01,70-79,Lombardia,22569
2021-05-01,70-79,Puglia,8318
2021-05-01,70-79,Emilia-Romagna,7036
2021-05-01,70-79,Lazio,6957
2021-05-01,70-79,Veneto,6508
2021-05-01,80-89,Lombardia,7197
2021-05-01,80-89,Toscana,5475
2021-05-01,80-89,Veneto,3368
2021-05-01,80-89,Lazio,3319
2021-05-01,80-89,Emilia-Romagna,3209
2021-05-01,90+,Veneto,1422
2021-05-01,90+,Lombardia,1275
2021-05-01,90+,Lazio,964
2021-05-01,90+,Sicilia,682
2021-05-01,90+,Puglia,658
2021-06-01,16-19,Sicilia,684
2021-06-01,16-19,Lombardia,553
2021-06-01,16-19,Puglia,338
2021-06-01,16-19,Campania,301
2021-06-01,16-19,Emilia-Romagna,127
2021-06-01,20-29,Lombardia,2886
2021-06-01,20-29,Campania,2204
2021-06-01,20-29,Sicilia,1342
2021-06-01,20-29,Emilia-Romagna,1060
2021-06-01,20-29,Lazio,763
2021-06-01,30-39,Lombardia,3571
2021-06-01,30-39,Campania,2463
2021-06-01,30-39,Lazio,1793
2021-06-01,30-39,Sicilia,1614
2021-06-01,30-39,Emilia-Romagna,1554
2021-06-01,40-49,Campania,8418
2021-06-01,40-49,Lombardia,6511
2021-06-01,40-49,Sicilia,5865
2021-06-01,40-49,Lazio,5834
2021-06-01,40-49,Puglia,2702
2021-06-01,50-59,Lombardia,18512
2021-06-01,50-59,Campania,10438
2021-06-01,50-59,Lazio,10316
2021-06-01,50-59,Veneto,7843
2021-06-01,50-59,Puglia,6867
2021-06-01,60-69,Lombardia,8168
2021-06-01,60-69,Toscana,7181
2021-06-01,60-69,Lazio,6888
2021-06-01,60-69,Emilia-Romagna,6243
2021-06-01,60-69,Piemonte,5628
2021-06-01,70-79,Lombardia,4197
2021-06-01,70-79,Sicilia,3010
2021-06-01,70-79,Toscana,2457
2021-06-01,70-79,Lazio,2353
2021-06-01,70-79,Piemonte,2169
2021-06-01,80-89,Sicilia,939
2021-06-01,80-89,Campania,609
2021-06-01,80-89,Liguria,178
2021-06-01,80-89,Marche,173
2021-06-01,80-89,Provincia Autonoma Trento,173
2021-06-01,90+,Sicilia,370
2021-06-01,90+,Lombardia,296
2021-06-01,90+,Campania,240
2021-06-01,90+,Veneto,166
2021-06-01,90+,Emilia-Romagna,117

