date,region,percent,prediction
2021-06-01,Abruzzo,62.543104253160465,4
2021-06-01,Basilicata,60.67033249996804,2
2021-06-01,Calabria,57.37002377341127,0
2021-06-01,Campania,59.59634907044471,1
2021-06-01,Emilia-Romagna,60.11057351971601,1
2021-06-01,Friuli-Venezia Giulia,62.43412946620362,4
2021-06-01,Lazio,59.91204720461978,1
2021-06-01,Liguria,64.18683207434073,4
2021-06-01,Lombardia,61.576642180509424,3
2021-06-01,Marche,61.2186177489633,3
2021-06-01,Molise,65.23822530661243,4
2021-06-01,Piemonte,60.01340912335223,1
2021-06-01,Provincia Autonoma Bolzano,60.794993582717375,2
2021-06-01,Provincia Autonoma Trento,55.40353743494663,0
2021-06-01,Puglia,61.14067193948659,2
2021-06-01,Sardegna,57.57950226032005,0
2021-06-01,Sicilia,54.166890455363855,0
2021-06-01,Toscana,59.27447153788928,1
2021-06-01,Umbria,61.93999396540861,3
2021-06-01,Valle d'Aosta,60.779692481536784,2
2021-06-01,Veneto,59.005682280693904,1
